1-(0,1):[5, 0, 4, 0, 0, 0]
2-(0,2):[0, 1, 5, 0, 3, 0]
3-(0,3):[0, 0, 4, 0, 0, 2]
4-(0,4):[1, 6, 0, 0, 0, 5]
5-(0,5):[0, 0, 1, 0, 0, 0]
6-(0,6):[0, 0, 6, 3, 0, 6]
7-(1,1):[0, 6, 0, 0, 0, 0]
8-(1,2):[0, 0, 1, 0, 0, 0]
9-(1,3):[2, 0, 0, 0, 0, 0]
10-(1,4):[0, 6, 0, 6, 0, 0]
11-(1,5):[1, 6, 0, 0, 0, 5]
12-(2,1):[0, 6, 0, 0, 0, 0]
13-(2,2):[0, 0, 4, 0, 0, 2]
14-(2,3):[1, 6, 0, 0, 0, 5]
15-(2,4):[0, 6, 4, 0, 0, 6]
16-(2,5):[1, 0, 0, 0, 5, 0]
17-(3,1):[1, 6, 0, 0, 0, 5]
18-(3,2):[0, 6, 0, 0, 0, 0]
19-(3,3):[0, 0, 1, 0, 0, 0]
20-(3,4):[0, 1, 5, 0, 3, 0]
21-(3,5):[0, 0, 4, 0, 0, 2]
22-(4,1):[0, 1, 5, 0, 3, 0]
23-(4,2):[1, 6, 0, 0, 0, 5]
24-(4,3):[0, 6, 0, 0, 0, 0]
25-(4,4):[5, 0, 4, 0, 0, 0]
26-(4,5):[0, 6, 0, 6, 0, 0]
27-(4,6):[0, 6, 4, 0, 0, 6]
28-(5,1):[0, 0, 4, 0, 0, 2]
29-(5,2):[2, 0, 0, 0, 0, 0]
30-(5,3):[0, 6, 4, 0, 0, 6]
31-(5,4):[0, 6, 0, 0, 0, 0]
32-(5,5):[1, 6, 0, 0, 0, 5]
33-(5,6):[3, 0, 0, 2, 0, 0]
34-(6,1):[0, 0, 0, 0, 0, 1]
35-(6,2):[3, 0, 0, 2, 0, 0]
36-(6,3):[0, 6, 4, 0, 0, 6]
37-(6,4):[6, 6, 0, 0, 1, 0]
38-(6,5):[0, 0, 1, 0, 0, 0]
39-(7,1):[0, 0, 4, 0, 0, 2]
40-(7,2):[0, 6, 4, 0, 0, 6]
41-(7,3):[1, 6, 0, 0, 0, 5]
42-(7,4):[0, 6, 0, 0, 0, 0]
43-(7,5):[0, 6, 0, 6, 0, 0]
44-(8,1):[0, 0, 0, 0, 0, 1]
45-(8,2):[1, 0, 0, 0, 5, 0]
46-(8,3):[0, 0, 6, 3, 0, 6]
47-(8,4):[2, 0, 0, 0, 0, 0]
48-(8,5):[0, 6, 4, 0, 0, 6]
49-(8,6):[0, 6, 0, 6, 0, 0]
50-(9,1):[0, 0, 4, 0, 0, 2]
51-(9,2):[0, 6, 4, 0, 0, 6]
52-(9,3):[0, 1, 5, 0, 3, 0]
53-(9,4):[0, 0, 0, 0, 0, 1]
54-(9,5):[0, 6, 0, 6, 0, 0]
55-(9,6):[3, 0, 0, 2, 0, 0]
